village,cov85,cov95,rsrp_mean,rsrp_p10,n_sites,n_tgt
Hongcun 宏村,100.0,100.0,-72.9,-76.7,53,365
Xidi 西递,100.0,100.0,-64.9,-68.1,48,159
Lucun 卢村,100.0,100.0,-60.5,-63.0,50,83
Pingshan 屏山,100.0,100.0,-72.3,-76.2,51,220
Nanping 南屏,100.0,100.0,-69.5,-72.4,52,160
Guanlu 关麓,100.0,100.0,-64.8,-67.4,50,54
Tachuan 塔川,100.0,100.0,-53.1,-63.7,50,33
Bishan 碧山,100.0,100.0,-67.0,-72.3,53,310
Chengkan 呈坎,100.0,100.0,-68.0,-74.4,51,192
Tangmo 唐模,100.0,100.0,-71.1,-79.3,49,179
Shuyuan 蜀源,90.7,100.0,-67.4,-78.3,48,75
Lingshan 灵山,87.9,100.0,-73.1,-86.9,50,33
Qiankou 潜口,99.7,100.0,-66.0,-70.8,51,333
Yuliang 渔梁,99.4,100.0,-67.4,-76.1,50,631
Tangyue 棠樾,99.4,100.0,-72.1,-73.9,48,175
Xiongcun 雄村,100.0,100.0,-67.2,-71.9,49,102
Xucun 许村,100.0,100.0,-71.9,-76.1,49,209
Zhanqi 瞻淇,99.5,100.0,-63.4,-78.8,52,220
Changxi 昌溪,98.1,100.0,-70.3,-72.0,49,215
Shitan 石潭,50.0,100.0,-78.6,-90.8,50,60
Zuyuan 祖源,97.0,100.0,-67.3,-81.4,46,33
Mulihong 木梨硔,60.6,100.0,-78.2,-93.9,40,33
Longchuan 龙川,100.0,100.0,-65.6,-67.9,52,200
Renli 仁里,100.0,100.0,-62.3,-66.2,49,51
Shangzhuang 上庄,100.0,100.0,-54.2,-57.2,51,324
Kantou 磡头,99.3,100.0,-69.3,-78.0,25,149
Lixi 历溪,93.3,99.6,-73.6,-84.3,45,268
Zhukou 渚口,99.3,100.0,-73.2,-80.2,40,153
Huansha 环砂,100.0,100.0,-69.8,-73.2,44,31
